,continent,population,head_of_state
0,North America,103000,Willem-Alexander
1,Asia,22720000,Mohammad Omar
2,Africa,12878000,Jose Eduardo dos Santos
3,North America,8000,Elisabeth II
4,Europe,3401200,Rexhep Mejdani
5,Europe,78000,
6,North America,217000,Willem-Alexander
7,Asia,2441000,Zayid bin Sultan al-Nahayan
8,South America,37032000,Fernando de la Rua
9,Asia,3520000,Robert KotSarjan
10,Oceania,68000,George W. Bush
11,Antarctica,0,
12,Antarctica,0,Jacques Chirac
13,North America,68000,Elisabeth II
14,Oceania,18886000,Elisabeth II
15,Europe,8091800,Thomas Klestil
16,Asia,7734000,Heydar aliyev
17,Africa,6695000,Pierre Buyoya
18,Europe,10239000,Albert II
19,Africa,6097000,Mathieu Kerekou
20,Africa,11937000,Blaise Compaore
21,Asia,129155000,Shahabuddin Ahmad
22,Europe,8190900,Petar Stojanov
23,Asia,617000,Hamad ibn Isa al-Khalifa
24,North America,307000,Elisabeth II
25,Europe,3972000,Ante Jelavic
26,Europe,10236000,Aljaksandr LukaSenka
27,North America,241000,Elisabeth II
28,North America,65000,Elisabeth II
29,South America,8329000,Hugo Banzer Suarez
30,South America,170115000,Fernando Henrique Cardoso
31,North America,270000,Elisabeth II
32,Asia,328000,Haji Hassan al-Bolkiah
33,Asia,2124000,Jigme Singye Wangchuk
34,Antarctica,0,Harald V
35,Africa,1622000,Festus G. Mogae
36,Africa,3615000,Ange-Felix Patasse
37,North America,31147000,Elisabeth II
38,Oceania,600,Elisabeth II
39,Europe,7160400,Adolf Ogi
40,South America,15211000,Ricardo Lagos Escobar
41,Asia,1277558000,Jiang Zemin
42,Africa,14786000,Laurent Gbagbo
43,Africa,15085000,Paul Biya
44,Africa,51654000,Joseph Kabila
45,Africa,2943000,Denis Sassou-Nguesso
46,Oceania,20000,Elisabeth II
47,South America,42321000,Andres Pastrana Arango
48,Africa,578000,Azali Assoumani
49,Africa,428000,Antonio Mascarenhas Monteiro
50,North America,4023000,Miguel angel RodrIguez EcheverrIa
51,North America,11201000,Fidel Castro Ruz
52,Oceania,2500,Elisabeth II
53,North America,38000,Elisabeth II
54,Asia,754700,Glafkos Klerides
55,Europe,10278100,Vaclav Havel
56,Europe,82164700,Johannes Rau
57,Africa,638000,Ismail Omar Guelleh
58,North America,71000,Vernon Shaw
59,Europe,5330000,Margrethe II
60,North America,8495000,Hipolito MejIa DomInguez
61,Africa,31471000,Abdelaziz Bouteflika
62,South America,12646000,Gustavo Noboa Bejarano
63,Africa,68470000,Hosni Mubarak
64,Africa,3850000,Isayas Afewerki [Isaias Afwerki]
65,Africa,293000,Mohammed Abdel Aziz
66,Europe,39441700,Juan Carlos I
67,Europe,1439200,Lennart Meri
68,Africa,62565000,Negasso Gidada
69,Europe,5171300,Tarja Halonen
70,Oceania,817000,Josefa Iloilo
71,South America,2000,Elisabeth II
72,Europe,59225700,Jacques Chirac
73,Europe,43000,Margrethe II
74,Oceania,119000,Leo A. Falcam
75,Africa,1226000,Omar Bongo
76,Europe,59623400,Elisabeth II
77,Asia,4968000,Eduard Sevardnadze
78,Africa,20212000,John Kufuor
79,Europe,25000,Elisabeth II
80,Africa,7430000,Lansana Conte
81,North America,456000,Jacques Chirac
82,Africa,1305000,Yahya Jammeh
83,Africa,1213000,Kumba Iala
84,Africa,453000,Teodoro Obiang Nguema Mbasogo
85,Europe,10545700,Kostis Stefanopoulos
86,North America,94000,Elisabeth II
87,North America,56000,Margrethe II
88,North America,11385000,Alfonso Portillo Cabrera
89,South America,181000,Jacques Chirac
90,Oceania,168000,George W. Bush
91,South America,861000,Bharrat Jagdeo
92,Asia,6782000,Jiang Zemin
93,Antarctica,0,Elisabeth II
94,North America,6485000,Carlos Roberto Flores Facusse
95,Europe,4473000,Stipe Mesic
96,North America,8222000,Jean-Bertrand Aristide
97,Europe,10043200,Ferenc Madl
98,Asia,212107000,Abdurrahman Wahid
99,Asia,1013662000,Kocheril Raman Narayanan
100,Africa,0,Elisabeth II
101,Europe,3775100,Mary McAleese
102,Asia,67702000,Ali Mohammad Khatami-Ardakani
103,Asia,23115000,Saddam Hussein al-Takriti
104,Europe,279000,olafur Ragnar GrImsson
105,Asia,6217000,Moshe Katzav
106,Europe,57680000,Carlo Azeglio Ciampi
107,North America,2583000,Elisabeth II
108,Asia,5083000,Abdullah II
109,Asia,126714000,Akihito
110,Asia,16223000,Nursultan Nazarbajev
111,Africa,30080000,Daniel arap Moi
112,Asia,4699000,Askar Akajev
113,Asia,11168000,Norodom Sihanouk
114,Oceania,83000,Teburoro Tito
115,North America,38000,Elisabeth II
116,Asia,46844000,Kim Dae-jung
117,Asia,1972000,Jabir al-Ahmad al-Jabir al-Sabah
118,Asia,5433000,Khamtay Siphandone
119,Asia,3282000,emile Lahoud
120,Africa,3154000,Charles Taylor
121,Africa,5605000,Muammar al-Qadhafi
122,North America,154000,Elisabeth II
123,Europe,32300,Hans-Adam II
124,Asia,18827000,Chandrika Kumaratunga
125,Africa,2153000,Letsie III
126,Europe,3698500,Valdas Adamkus
127,Europe,435700,Henri
128,Europe,2424200,Vaira Vike-Freiberga
129,Asia,473000,Jiang Zemin
130,Africa,28351000,Mohammed VI
131,Europe,34000,Rainier III
132,Europe,4380000,Vladimir Voronin
133,Africa,15942000,Didier Ratsiraka
134,Asia,286000,Maumoon Abdul Gayoom
135,North America,98881000,Vicente Fox Quesada
136,Oceania,64000,Kessai Note
137,Europe,2024000,Boris Trajkovski
138,Africa,11234000,Alpha Oumar Konare
139,Europe,380200,Guido de Marco
140,Asia,45611000,kenraali Than Shwe
141,Asia,2662000,Natsagiin Bagabandi
142,Oceania,78000,George W. Bush
143,Africa,19680000,JoaquIm A. Chissano
144,Africa,2670000,Maaouiya Ould Sid Ahmad Taya
145,North America,11000,Elisabeth II
146,North America,395000,Jacques Chirac
147,Africa,1158000,Cassam uteem
148,Africa,10925000,Bakili Muluzi
149,Asia,22244000,Salahuddin Abdul Aziz Shah Alhaj
150,Africa,149000,Jacques Chirac
151,Africa,1726000,Sam Nujoma
152,Oceania,214000,Jacques Chirac
153,Africa,10730000,Mamadou Tandja
154,Oceania,2000,Elisabeth II
155,Africa,111506000,Olusegun Obasanjo
156,North America,5074000,Arnoldo Aleman Lacayo
157,Oceania,2000,Elisabeth II
158,Europe,15864000,Willem-Alexander
159,Europe,4478500,Harald V
160,Asia,23930000,Gyanendra Bir Bikram
161,Oceania,12000,Bernard Dowiyogo
162,Oceania,3862000,Elisabeth II
163,Asia,2542000,Qabus ibn Sa id
164,Asia,156483000,Mohammad Rafiq Tarar
165,North America,2856000,Mireya Elisa Moscoso RodrIguez
166,Oceania,50,Elisabeth II
167,South America,25662000,Valentin Paniagua Corazao
