continent,population,life_expectancy
North America,103000,78.4
North America,8000,76.1
North America,217000,74.7
North America,68000,70.5
North America,307000,71.1
North America,241000,70.9
North America,65000,76.9
North America,270000,73.0
North America,31147000,79.4
North America,4023000,75.8
North America,11201000,76.2
North America,38000,78.9
North America,71000,73.4
North America,8495000,73.2
North America,456000,77.0
North America,94000,64.5
North America,56000,68.1
North America,11385000,66.2
North America,6485000,69.9
North America,8222000,49.2
North America,2583000,75.2
North America,38000,70.7
North America,154000,72.3
North America,98881000,71.5
North America,11000,78.0
North America,395000,78.3
North America,5074000,68.7
North America,2856000,75.5
North America,3869000,75.6
North America,6276000,69.7
North America,7000,77.6
North America,17000,73.3
North America,1295000,68.0
North America,278357000,77.1
North America,114000,72.3
North America,21000,75.4
North America,93000,78.1
Europe,3401200,71.6
Europe,78000,83.5
Europe,8091800,77.7
Europe,10239000,77.8
Europe,8190900,70.9
Europe,3972000,71.5
Europe,10236000,68.0
Europe,7160400,79.6
Europe,10278100,74.5
Europe,82164700,77.4
Europe,5330000,76.5
Europe,39441700,78.8
Europe,1439200,69.5
Europe,5171300,77.4
Europe,59225700,78.8
Europe,43000,78.4
Europe,59623400,77.7
Europe,25000,79.0
Europe,10545700,78.4
Europe,4473000,73.7
Europe,10043200,71.4
Europe,3775100,76.8
Europe,279000,79.4
Europe,57680000,79.0
Europe,32300,78.8
Europe,3698500,69.1
Europe,435700,77.1
Europe,2424200,68.4
Europe,34000,78.8
Europe,4380000,64.5
Europe,2024000,73.8
Europe,380200,77.9
Europe,15864000,78.3
Europe,4478500,78.7
Europe,38653600,73.2
Europe,9997600,75.8
Europe,22455500,69.9
Europe,146934000,67.2
Europe,3200,
Europe,27000,81.1
Europe,5398700,73.7
Europe,1987800,74.9
Europe,8861400,79.6
Europe,50456000,66.0
Europe,1000,
Europe,10640000,72.4
